simulation,2025,2026,2027,2028,2029
1148,3,3,0,0,0
1149,0,0,6,0,0
1150,16,0,5,78,6
1151,0,0,0,0,4
1152,0,1,9,1,0
1153,6,0,8,10,0
1154,0,0,0,10,0
1155,0,37,0,2,0
1156,5,7,0,0,0
1157,0,0,0,4,0
1158,0,9,0,0,12
1159,0,0,39,0,23
1160,20,0,0,0,0
1161,9,0,2,2,13
1162,5,0,0,2,0
1163,10,0,0,2,0
1164,10,1,1,0,2
1165,0,10,0,0,11
1166,0,0,12,0,1
1167,1,85,0,1,3
1168,0,0,0,60,33
1169,36,0,0,0,0
1170,0,0,16,0,0
1171,0,0,0,1,0
1172,16,0,0,0,0
1173,4,0,0,0,0
1174,0,0,0,0,1
1175,3,2,0,0,0
1176,0,18,1,0,0
1177,27,0,0,4,25
1178,1,5,10,0,0
1179,5,0,6,2,2
1180,26,0,0,4,9
1181,0,1,0,25,1
1182,0,0,0,0,0
1183,0,0,0,0,0
1184,0,0,0,2,1
1185,0,11,0,0,0
1186,0,0,0,0,0
1187,0,0,4,0,0
1188,16,2,1,1,0
1189,0,0,2,0,0
1190,5,4,2,0,0
1191,2,0,11,3,0
1192,0,2,2,0,0
1193,16,0,1,0,0
1194,1,0,19,0,10
1195,3,3,3,1,0
1196,12,0,0,3,5
1197,0,1,0,2,3
1198,0,0,1,24,0
1199,0,2,0,0,48
1200,0,2,0,0,30
1201,0,1,0,0,1
1202,1,17,0,0,2
1203,0,5,0,0,0
1204,0,8,1,0,0
1205,0,0,0,0,2
1206,0,1,0,0,13
1207,0,0,0,0,0
1208,0,1,0,1,0
1209,13,0,8,2,6
1210,8,20,63,7,1
1211,0,0,0,0,0
1212,0,0,0,1,0
1213,85,11,0,58,51
1214,1,7,0,0,17
1215,23,7,0,0,0
1216,16,1,23,12,1
1217,20,0,0,0,0
1218,0,0,0,0,15
1219,0,4,0,10,0
1220,0,0,0,1,0
1221,0,0,0,0,8
1222,3,0,0,2,2
1223,0,0,3,16,0
1224,0,0,0,0,1
1225,68,0,0,1,1
1226,1,1,0,0,9
1227,0,20,0,0,0
1228,13,0,0,0,2
1229,0,0,0,1,0
1230,12,0,4,0,0
1231,0,0,4,2,0
1232,0,0,0,0,0
1233,0,0,4,0,15
1234,0,0,0,0,0
1235,3,1,0,0,0
1236,13,0,4,2,0
1237,0,0,10,0,14
1238,22,31,0,0,3
1239,4,18,0,0,1
1240,3,0,94,0,0
1241,0,11,6,5,1
1242,12,2,0,1,1
1243,0,0,2,0,0
1244,0,5,60,0,0
1245,1,0,0,2,4
1246,0,1,0,3,23
1247,2,0,8,0,0
1248,0,0,0,12,0
1249,48,1,46,0,0
1250,12,12,42,2,0
1251,0,2,2,22,43
1252,0,0,0,1,0
1253,8,0,2,0,5
1254,1,0,5,0,0
1255,0,0,0,16,0
1256,1,0,14,3,0
1257,0,0,0,1,0
1258,37,0,0,0,56
1259,4,1,6,2,0
1260,7,6,0,5,0
1261,18,5,28,0,0
1262,2,0,7,1,1
1263,0,2,0,1,0
1264,0,0,4,0,1
1265,0,0,0,0,11
1266,0,0,10,11,193
1267,0,1,0,12,0
1268,0,0,9,1,5
1269,1,0,0,4,3
1270,30,5,26,0,0
1271,0,54,0,0,45
1272,18,2,0,0,18
1273,4,14,0,5,0
1274,0,0,0,0,1
1275,0,0,0,5,27
1276,23,0,0,2,0
1277,0,4,90,0,0
1278,0,1,0,12,0
1279,12,13,15,0,0
1280,0,3,0,0,1
1281,2,0,0,0,27
1282,0,0,0,0,0
1283,0,0,0,1,0
1284,0,1,0,21,0
1285,0,26,31,0,0
1286,12,7,16,2,0
1287,0,14,1,1,0
1288,0,0,0,2,0
1289,0,0,0,0,0
1290,1,0,0,2,2
1291,0,34,0,0,0
1292,17,0,3,1,0
1293,0,44,0,0,0
1294,3,6,0,0,1
1295,0,0,1,0,2
1296,20,0,6,15,23
1297,1,0,0,3,0
1298,19,44,27,0,8
1299,0,7,9,2,10
1300,0,2,2,5,1
1301,3,0,2,0,0
1302,0,1,31,0,0
1303,20,0,0,6,0
1304,8,0,1,21,0
1305,2,0,0,0,6
1306,0,3,0,1,0
1307,0,1,1,14,0
1308,11,0,0,0,15
1309,13,4,0,0,0
1310,2,0,2,36,1
1311,0,0,0,0,0
1312,0,7,15,0,0
1313,17,1,0,6,0
1314,0,0,1,0,0
1315,3,0,35,1,1
1316,2,0,13,1,0
1317,0,7,8,0,41
1318,1,1,1,0,0
1319,1,139,0,0,1
1320,0,0,1,2,2
1321,3,0,5,16,1
1322,3,0,0,1,2
1323,0,1,0,0,0
1324,5,0,0,10,0
1325,3,8,2,2,1
1326,0,14,2,103,0
1327,19,1,1,0,1
1328,7,0,0,0,5
1329,0,0,4,0,0
1330,0,0,12,24,0
1331,15,0,0,0,8
1332,0,7,4,13,0
1333,0,20,1,44,24
1334,4,7,0,0,0
1335,14,0,1,0,0
1336,1,0,2,86,0
1337,0,0,21,0,22
1338,7,0,0,9,0
1339,0,0,1,3,0
1340,8,0,0,0,0
1341,25,0,0,0,6
1342,6,1,0,5,4
1343,0,0,1,0,1
1344,10,6,0,1,0
1345,8,0,0,0,15
1346,0,4,40,0,14
1347,2,0,1,0,0
1348,1,56,5,0,0
1349,2,8,0,4,0
1350,0,0,1,0,0
1351,1,0,23,21,0
1352,0,0,0,0,0
1353,0,0,16,0,0
1354,27,0,14,50,4
1355,0,0,0,1,1
1356,2,0,0,0,12
1357,0,0,2,1,0
1358,6,11,3,44,0
1359,3,1,67,51,1
1360,12,0,5,3,0
1361,0,7,2,0,0
1362,0,19,0,2,1
1363,1,0,1,10,0
1364,9,0,1,64,1
1365,0,4,0,0,0
1366,0,0,0,0,0
1367,0,6,2,11,6
1368,1,0,0,2,96
1369,3,0,0,0,0
1370,0,2,0,0,28
1371,2,0,0,5,0
1372,1,1,10,5,0
1373,1,0,0,23,0
1374,4,4,0,24,4
1375,5,11,0,6,4
1376,6,0,0,0,7
1377,0,0,20,0,1
1378,0,0,0,3,0
1379,2,109,0,3,0
1380,0,22,21,2,0
1381,0,0,5,40,0
1382,4,7,4,2,12
1383,5,4,17,0,2
1384,0,4,0,2,0
1385,6,0,0,2,0
1386,0,33,0,2,1
1387,5,0,11,3,0
1388,4,0,0,68,0
1389,0,13,1,0,11
1390,11,0,48,9,0
1391,0,0,0,0,41
1392,0,0,0,18,1
1393,0,5,0,7,7
1394,6,7,0,0,26
1395,0,6,0,2,3
1396,3,0,0,0,12
1397,50,0,1,0,0
1398,0,0,1,19,23
1399,0,0,0,2,3
1400,5,1,2,0,17
1401,1,2,0,3,5
1402,0,0,0,2,0
1403,0,0,0,15,2
1404,0,0,0,5,0
1405,0,2,0,0,9
1406,0,0,2,48,3
1407,0,0,0,58,0
1408,0,2,0,0,0
1409,4,1,0,0,0
1410,8,0,0,1,9
1411,0,4,0,0,8
1412,10,0,0,8,0
1413,5,1,0,0,0
1414,18,1,0,46,4
1415,0,0,0,1,14
1416,8,0,6,0,0
1417,1,5,16,0,56
1418,0,1,5,31,0
1419,2,0,1,0,24
1420,7,148,12,16,4
1421,15,0,1,2,3
1422,0,20,0,18,1
1423,6,0,0,0,0
1424,7,0,5,0,109
1425,0,6,0,1,2
1426,0,9,27,0,0
1427,0,0,3,0,0
1428,0,0,0,0,5
1429,0,29,43,0,0
1430,0,0,8,6,1
1431,6,8,0,0,0
1432,0,0,10,1,0
1433,67,0,10,0,0
1434,0,0,0,22,0
1435,11,0,3,1,10
1436,10,2,9,3,0
1437,1,2,0,0,0
1438,0,0,7,1,0
1439,0,0,0,0,1
1440,0,0,2,0,0
1441,6,1,1,0,0
1442,0,0,50,0,0
1443,66,0,0,0,6
1444,0,1,0,0,0
1445,0,18,13,0,80
1446,0,13,0,17,0
1447,0,0,0,2,0
1448,0,0,12,0,34
1449,2,0,2,0,0
1450,0,0,0,1,4
1451,0,0,0,4,4
1452,1,8,4,2,0
1453,17,0,0,1,5
1454,0,3,0,2,3
1455,0,0,39,30,0
1456,0,1,0,16,5
1457,0,1,0,6,2
1458,0,0,6,0,13
1459,0,3,0,2,0
1460,55,29,0,0,5
1461,0,0,0,4,0
1462,0,0,0,0,0
1463,0,27,0,0,0
1464,0,0,0,4,3
1465,34,36,1,0,0
1466,0,1,0,3,0
1467,3,0,2,1,1
1468,4,2,2,47,12
1469,0,13,6,0,0
1470,5,0,1,0,0
1471,5,0,0,0,9
1472,2,0,5,0,0
1473,1,0,0,67,12
1474,0,1,4,0,0
1475,0,0,57,1,0
1476,0,44,8,0,0
1477,5,12,93,33,8
1478,0,0,15,0,0
1479,20,1,7,41,0
1480,17,0,0,0,4
1481,0,0,1,0,52
1482,14,19,6,0,51
1483,2,0,11,0,1
1484,2,0,0,8,0
1485,0,0,8,0,0
1486,18,1,0,0,1
1487,4,0,0,0,0
1488,8,6,0,0,3
1489,81,0,0,0,0
1490,0,0,0,0,17
1491,0,8,0,0,10
1492,0,5,0,1,0
1493,0,17,59,2,7
1494,0,0,15,5,0
1495,0,0,0,0,6
1496,0,81,13,20,2
1497,0,0,0,14,0
1498,0,0,1,0,0
1499,0,0,13,0,0
1500,20,3,0,2,0
1501,9,0,2,3,0
1502,0,3,1,2,0
1503,0,0,0,3,0
1504,0,7,0,0,0
1505,0,0,0,0,0
1506,3,0,19,0,0
1507,2,0,0,4,0
1508,0,25,6,4,2
1509,0,1,0,0,0
1510,15,14,0,44,0
1511,0,0,0,2,0
1512,0,0,3,1,1
1513,8,0,0,5,29
1514,0,0,0,0,0
1515,1,0,12,0,1
1516,7,0,0,0,2
1517,0,0,0,0,21
1518,0,0,0,0,3
1519,2,15,0,0,0
1520,0,1,1,0,0
1521,3,8,3,0,0
1522,0,2,12,0,0
1523,3,0,9,5,2
1524,0,0,14,0,0
1525,1,4,4,0,0
1526,1,0,0,0,0
1527,1,0,0,3,0
1528,0,0,105,1,12
1529,0,0,0,1,0
1530,0,0,10,1,0
1531,14,1,3,0,0
1532,0,1,0,1,0
1533,11,0,0,1,11
1534,0,7,0,2,26
1535,10,0,1,0,0
1536,1,0,0,0,0
1537,3,0,6,36,0
1538,1,0,2,0,42
1539,0,0,0,0,69
1540,2,2,0,0,45
1541,8,1,7,1,3
1542,0,0,0,1,0
1543,0,1,24,6,38
1544,0,2,0,12,0
1545,0,0,2,31,6
1546,11,0,0,0,91
1547,0,0,15,0,3
1548,0,0,23,0,0
1549,0,10,1,0,0
1550,0,0,0,5,0
1551,0,0,1,5,0
1552,134,6,105,9,0
1553,1,0,4,0,2
1554,19,30,1,25,31
1555,0,5,1,13,5
1556,3,24,0,0,0
1557,0,5,5,2,0
1558,0,0,0,1,0
1559,0,5,0,0,2
1560,6,21,0,45,0
1561,16,0,0,271,0
1562,0,5,0,2,8
1563,15,0,0,30,1
1564,0,3,0,3,195
1565,5,0,0,0,0
1566,0,1,0,0,3
1567,0,37,13,0,0
1568,6,10,0,0,1
1569,1,0,0,2,0
1570,29,0,0,0,0
1571,0,83,7,0,9
1572,4,4,7,0,0
1573,0,0,0,4,7
1574,0,10,26,0,4
1575,10,2,2,0,0
1576,19,2,4,1,0
1577,0,0,1,0,8
1578,6,0,20,0,0
1579,34,43,14,2,0
1580,1,0,2,6,0
1581,0,0,5,4,0
1582,0,0,5,0,3
1583,16,0,0,13,2
1584,0,17,0,3,32
1585,1,17,6,11,0
1586,5,0,0,5,8
1587,0,1,0,7,0
1588,0,0,2,1,0
1589,1,0,0,1,11
1590,0,2,29,24,0
1591,0,0,3,1,0
1592,0,0,0,77,0
1593,1,0,0,0,5
1594,25,0,4,4,0
1595,22,0,0,2,19
1596,1,1,1,1,0
1597,1,53,1,37,0
1598,0,0,2,0,0
1599,7,3,0,6,0
1600,0,0,85,81,27
1601,2,4,0,0,0
1602,0,0,22,1,1
1603,0,2,1,0,0
1604,0,3,0,1,51
1605,29,0,0,0,15
1606,0,0,0,4,0
1607,1,0,1,0,0
1608,0,0,0,6,1
1609,14,0,15,8,2
1610,0,76,0,2,7
1611,0,64,0,6,0
1612,0,1,66,0,0
1613,31,0,1,0,0
1614,0,0,16,1,0
1615,0,0,3,1,0
1616,0,0,0,2,0
1617,0,20,15,0,0
1618,0,0,0,2,8
1619,15,0,0,0,0
1620,0,13,2,1,0
1621,0,0,1,13,0
1622,8,35,0,0,35
1623,0,1,49,1,0
1624,0,0,1,9,0
1625,35,0,0,0,2
1626,9,4,0,0,4
1627,1,13,0,0,0
1628,65,0,12,0,20
1629,0,0,10,62,0
1630,28,0,2,10,2
1631,0,0,0,0,0
1632,0,0,0,0,0
1633,1,0,22,0,8
1634,0,0,0,0,0
1635,16,0,6,6,4
1636,0,0,11,0,0
1637,0,0,0,0,0
1638,0,2,3,0,0
1639,5,3,0,0,4
1640,21,9,0,0,0
1641,0,0,0,0,16
1642,1,5,1,0,1
1643,7,9,31,0,2
1644,0,0,0,0,3
1645,5,0,19,1,1
1646,3,0,3,2,0
1647,0,0,0,0,17
1648,1,1,0,2,0
1649,0,2,1,0,0
1650,1,1,25,52,3
1651,9,0,1,0,0
1652,0,1,1,0,0
1653,0,0,0,0,0
1654,6,7,25,0,67
1655,0,15,0,234,0
1656,25,45,0,1,5
1657,0,0,0,1,1
1658,0,6,4,59,0
1659,0,32,0,0,5
1660,0,10,0,67,0
1661,0,2,0,30,1
1662,41,0,1,6,0
1663,20,1,53,6,110
1664,1,0,1,0,0
1665,1,0,0,0,0
1666,0,0,0,0,10
1667,0,0,493,50,2
1668,1,3,6,49,0
1669,0,0,0,0,2
1670,0,0,0,0,0
1671,10,0,0,44,3
1672,20,4,8,0,1
1673,1,1,1,0,9
1674,16,0,2,0,1
1675,0,0,0,4,13
1676,0,33,25,2,0
1677,0,0,0,0,0
1678,0,0,0,0,3
1679,0,1,54,6,48
1680,2,299,4,0,0
1681,0,1,2,2,4
1682,0,0,0,0,0
1683,21,48,8,9,0
1684,9,17,1,0,11
1685,1,1,0,0,0
1686,0,4,3,0,3
1687,2,15,3,0,0
1688,3,1,14,0,14
1689,0,0,0,2,1
1690,11,0,0,0,0
1691,3,0,27,4,25
1692,0,0,1,0,0
1693,0,13,0,0,2
1694,4,0,0,7,0
1695,4,20,11,0,0
1696,0,0,0,0,0
1697,12,0,0,3,0
1698,0,0,7,0,1
1699,0,3,1,2,0
1700,0,8,1,4,8
1701,1,0,17,0,0
1702,35,10,10,25,2
1703,12,0,0,0,0
1704,0,3,1,0,25
1705,0,6,0,0,0
1706,2,2,15,0,1
1707,0,0,2,1,11
1708,0,28,1,16,0
1709,3,0,0,0,0
1710,0,114,103,5,26
1711,0,0,17,0,0
1712,4,0,0,0,18
1713,4,0,0,2,4
1714,0,0,0,1,0
1715,0,2,1,1,0
1716,0,4,0,23,0
1717,0,5,0,89,1
1718,0,3,0,0,0
1719,0,5,0,0,3
1720,0,0,55,0,0
1721,4,3,1,0,1
1722,0,8,4,10,0
1723,13,9,11,124,0
1724,3,10,9,2,0
1725,54,3,3,0,4
1726,0,9,0,113,4
1727,0,17,12,0,0
1728,0,21,1,0,8
1729,0,21,0,11,1
1730,0,18,0,14,0
1731,0,5,0,1,0
1732,5,2,0,1,48
1733,0,1,0,5,22
1734,1,14,36,0,2
1735,1,1,0,3,1
1736,0,16,5,17,8
1737,0,0,0,0,0
1738,0,0,0,5,1
1739,0,1,0,0,0
1740,15,0,0,0,0
1741,12,0,0,15,0
1742,12,0,114,2,41
1743,0,2,3,13,0
1744,0,0,0,0,0
1745,0,0,1,0,0
1746,1,1,4,1,18
1747,0,48,0,1,0
1748,2,0,11,0,0
1749,0,0,0,3,0
1750,6,8,3,8,0
1751,0,0,0,0,38
1752,0,0,10,0,0
1753,0,0,11,0,0
1754,108,0,1,32,0
1755,2,11,0,5,5
1756,0,0,5,12,0
1757,0,0,0,0,5
1758,0,0,1,0,1
1759,0,1,0,7,9
1760,0,26,0,0,0
1761,35,15,6,20,0
1762,0,1,0,0,0
1763,0,0,0,10,6
1764,0,0,0,4,13
1765,0,0,0,1,15
1766,15,0,3,0,4
1767,4,10,0,0,22
1768,17,1,3,16,0
1769,0,1,18,4,24
1770,0,2,0,8,27
1771,1,0,1,2,3
1772,35,5,15,3,9
1773,0,0,0,34,2
1774,1,6,0,1,0
1775,14,0,0,1,1
1776,1,0,0,4,0
1777,0,0,8,1,0
1778,12,0,0,62,0
1779,0,0,0,55,0
1780,0,242,0,0,0
1781,0,18,0,10,8
1782,0,0,0,1,0
1783,7,2,0,1,0
1784,0,60,0,4,0
1785,2,0,0,3,0
1786,7,0,6,0,0
1787,1,81,3,4,0
1788,0,0,0,3,51
1789,8,0,0,10,0
1790,0,24,0,1,25
1791,1,0,0,0,0
1792,0,24,0,27,0
1793,1,0,33,10,0
1794,20,43,33,4,0
1795,1,18,17,0,0
1796,0,0,0,0,0
1797,6,0,22,0,0
1798,0,33,0,2,0
1799,0,0,13,6,14
1800,5,2,1,1,1
1801,0,1,0,0,1
1802,22,35,0,1,1
1803,0,134,0,2,0
1804,0,0,0,1,0
1805,0,94,25,0,15
1806,0,0,0,0,37
1807,1,0,187,27,2
1808,0,6,3,0,23
1809,0,7,0,1,0
1810,12,0,0,3,1
1811,0,1,0,0,2
1812,0,0,0,0,10
1813,16,0,0,0,61
1814,0,2,0,0,0
1815,21,5,32,0,15
1816,1,3,1,0,0
1817,18,0,6,26,0
1818,0,0,0,2,0
1819,0,10,11,0,0
1820,0,4,1,3,15
1821,0,0,1,0,0
1822,0,0,0,1,0
1823,0,0,0,2,0
1824,3,3,0,0,0
1825,0,8,2,1,42
1826,0,0,0,4,0
1827,3,5,8,0,0
1828,0,13,0,0,13
1829,0,0,8,81,3
1830,0,0,0,0,0
1831,0,0,0,43,1
1832,1,0,0,0,0
1833,0,0,9,16,0
1834,0,12,0,0,10
1835,0,0,6,6,19
1836,1,1,5,0,5
1837,6,0,0,0,36
1838,3,0,0,0,0
1839,4,1,2,8,4
1840,0,0,0,0,2
1841,0,0,0,0,0
1842,1,0,0,0,2
1843,0,0,12,1,0
1844,0,35,2,0,0
1845,3,0,1,0,4
1846,1,15,0,7,0
1847,27,0,0,0,0
1848,0,0,0,0,0
1849,0,4,2,8,0
1850,0,2,0,22,2
1851,5,0,0,0,2
1852,6,2,47,2,24
1853,0,0,45,0,1
1854,1,0,0,0,0
1855,1,0,0,13,2
1856,0,0,2,0,3
1857,0,4,0,1,59
1858,0,0,0,0,0
1859,1,0,20,0,0
1860,2,22,0,25,2
1861,47,2,6,0,2
1862,0,0,0,38,0
1863,0,0,31,0,0
1864,28,9,0,2,15
1865,0,0,4,35,0
1866,7,0,0,16,1
1867,0,0,0,1,0
1868,1,0,3,21,0
1869,4,0,1,3,0
1870,0,0,0,0,0
1871,0,0,0,0,0
1872,44,0,0,0,0
1873,1,186,0,0,0
1874,5,0,6,3,0
1875,0,0,0,23,0
1876,0,23,17,0,0
1877,0,3,0,0,0
1878,18,8,0,2,0
1879,0,10,59,0,2
1880,3,0,5,0,0
1881,0,7,0,0,0
1882,0,0,0,9,0
1883,0,0,0,29,7
1884,0,0,0,0,0
1885,0,0,0,39,0
1886,0,0,0,0,0
1887,12,0,0,0,0
1888,0,0,50,73,0
1889,22,0,14,0,4
1890,0,0,0,0,43
1891,0,0,9,0,0
1892,0,3,0,3,0
1893,0,1,0,0,0
1894,0,0,0,17,15
1895,26,2,2,0,0
1896,11,0,0,7,8
1897,37,10,12,6,0
1898,0,7,36,7,0
1899,0,66,16,0,61
1900,4,12,85,4,6
1901,5,6,61,0,4
1902,0,0,0,11,0
1903,0,4,0,0,0
1904,0,17,13,1,0
1905,77,0,0,0,0
1906,0,0,0,25,11
1907,0,0,1,7,0
1908,0,0,0,2,0
1909,1,0,16,0,0
1910,0,0,3,2,3
1911,0,34,5,0,9
1912,7,0,0,0,1
1913,1,0,54,0,1
1914,7,0,0,0,0
1915,0,0,6,0,3
1916,0,3,0,0,3
1917,0,0,1,0,7
1918,0,0,0,2,1
1919,0,139,6,0,42
1920,1,34,0,0,1
1921,0,0,3,1,0
1922,1,5,0,1,4
1923,0,50,40,15,76
1924,0,0,8,0,1
1925,1,21,0,0,0
1926,0,0,8,0,18
1927,19,4,26,0,0
1928,17,7,24,2,2
1929,0,0,0,0,0
1930,0,0,0,0,5
1931,0,0,1,0,0
1932,0,0,0,22,0
1933,3,0,0,1,1
1934,0,0,121,59,4
1935,0,1,0,57,1
1936,4,0,0,0,0
1937,0,16,0,0,29
1938,15,8,0,3,24
1939,0,0,0,2,2
1940,0,0,1,15,8
1941,3,1,2,0,0
1942,3,18,0,0,1
1943,2,0,0,6,18
1944,0,1,0,1,5
1945,13,0,6,0,15
1946,117,0,33,5,4
1947,6,1,3,0,0
1948,0,8,0,4,0
1949,5,0,1,0,0
1950,54,1,2,0,2
1951,0,0,0,0,0
1952,0,0,0,0,0
1953,0,1,6,0,0
1954,12,7,6,0,0
1955,0,1,7,1,0
1956,0,0,21,4,12
1957,0,0,0,0,0
1958,0,4,0,6,2
1959,4,10,1,0,22
1960,10,4,14,0,0
1961,0,0,0,0,2
1962,0,0,5,0,0
1963,77,0,0,1,7
1964,1,0,0,0,23
1965,0,1,1,0,1
1966,58,0,0,71,46
1967,0,6,32,1,0
1968,41,0,58,4,0
1969,2,0,0,0,0
1970,3,5,0,0,1
1971,0,0,40,0,4
1972,0,0,0,3,0
1973,4,0,0,0,0
1974,0,0,12,0,0
1975,0,0,0,0,10
1976,0,4,0,0,0
1977,0,2,0,1,2
1978,0,4,6,15,0
1979,3,0,6,0,2
1980,0,0,11,0,0
1981,0,0,0,0,0
1982,8,72,5,19,26
1983,0,14,0,0,0
1984,0,0,0,14,0
1985,14,0,6,0,0
1986,31,4,0,0,136
1987,0,9,1,0,0
1988,3,0,29,5,0
1989,0,59,0,55,13
1990,4,0,0,1,2
1991,6,0,0,0,4
1992,0,1,0,1,10
1993,6,14,17,0,89
1994,0,4,1,0,14
1995,4,0,0,0,4
1996,0,0,12,0,0
1997,0,1,0,0,0
1998,1,4,0,144,26
1999,40,1,0,13,7
2000,0,7,2,4,0
2001,0,0,0,0,0
2002,2,9,0,0,8
2003,0,1,0,0,0
2004,4,4,0,22,13
2005,2,0,1,3,0
2006,3,0,0,0,0
2007,7,0,0,0,2
2008,0,1,19,44,8
2009,0,1,0,0,2
2010,0,0,0,0,0
2011,0,0,3,0,0
2012,0,25,0,0,0
2013,2,0,1,3,1
2014,0,1,14,0,0
2015,37,6,0,0,4
2016,16,28,0,0,0
2017,6,0,0,14,0
2018,5,7,0,0,0
2019,0,1,2,0,0
2020,12,0,2,0,0
2021,32,1,1,0,0
2022,0,1,0,0,1
2023,0,0,72,2,2
2024,0,0,4,0,0
2025,0,4,0,0,2
2026,0,0,0,0,0
2027,2,0,0,0,35
2028,10,0,4,1,0
2029,0,0,0,1,1
2030,3,5,3,0,0
2031,1,6,1,9,0
2032,0,6,2,18,5
2033,55,3,0,0,0
2034,0,37,12,1,0
2035,3,0,0,0,2
2036,11,0,0,0,0
2037,0,14,0,1,2
2038,0,0,0,0,0
2039,25,4,19,8,1
2040,21,0,0,0,26
2041,0,0,0,0,1
2042,0,18,2,119,12
2043,14,3,10,2,0
2044,0,13,0,0,1
2045,7,0,8,1,0
2046,3,1,1,15,1
2047,52,3,0,0,1
2048,2,6,26,0,2
2049,0,0,1,31,6
2050,23,0,1,29,2
2051,0,0,3,61,0
2052,12,32,1,2,6
2053,0,3,0,0,0
2054,0,16,0,0,20
2055,6,2,2,0,0
2056,59,0,2,0,1
2057,2,4,135,0,0
2058,0,6,2,0,0
2059,0,5,0,1,4
2060,6,13,0,5,0
2061,0,0,0,1,0
2062,0,1,0,8,7
2063,0,0,0,0,9
2064,0,43,75,32,16
2065,0,0,0,7,3
2066,0,0,0,2,2
2067,0,0,15,0,2
2068,19,0,3,0,3
2069,7,22,11,11,0
2070,9,0,0,0,0
2071,1,0,0,1,1
2072,0,1,0,0,0
2073,3,4,0,9,0
2074,0,0,0,0,0
2075,40,0,14,16,8
2076,1,0,0,0,1
2077,0,6,2,0,0
2078,6,0,23,1,0
2079,0,0,15,0,0
2080,0,0,0,0,12
2081,7,0,0,1,0
2082,0,0,24,0,1
2083,0,0,0,2,0
2084,0,30,0,0,1
2085,1,18,0,1,0
2086,1,0,0,2,0
2087,19,8,3,0,0
2088,13,0,4,0,0
2089,1,0,0,0,0
2090,2,5,1,0,64
2091,5,0,0,1,1
2092,2,0,0,0,0
2093,0,0,0,0,1
2094,17,6,0,1,0
2095,1,0,0,2,2
2096,23,64,94,0,22
2097,1,6,0,0,0
2098,0,16,0,0,0
2099,2,0,2,0,43
2100,19,2,2,0,0
2101,0,31,0,84,0
2102,0,0,38,0,0
2103,1,2,0,0,0
2104,15,164,0,1,0
2105,0,0,0,29,0
2106,34,2,0,20,4
2107,97,35,12,18,0
2108,34,10,0,0,0
2109,0,0,0,0,0
2110,16,0,0,0,24
2111,9,4,0,0,25
2112,4,0,0,0,0
2113,8,0,11,1,21
2114,0,2,0,0,0
2115,6,1,1,5,0
2116,0,0,0,8,4
2117,0,3,3,0,0
2118,0,0,0,0,0
2119,0,3,0,0,0
2120,0,0,0,45,1
2121,0,0,0,47,20
2122,42,70,0,1,8
2123,0,15,19,8,0
2124,8,0,0,18,0
2125,0,4,0,0,12
2126,0,6,1,0,0
2127,0,0,2,2,2
2128,7,6,0,0,0
2129,1,8,0,9,0
2130,0,12,5,0,0
2131,0,0,4,2,15
2132,0,6,0,0,5
2133,8,0,0,0,0
2134,4,3,0,2,3
2135,2,19,1,0,0
2136,0,0,14,0,0
2137,13,2,37,1,8
2138,10,2,1,17,0
2139,0,69,3,62,0
2140,0,0,0,0,3
2141,0,0,6,0,0
2142,0,19,184,5,1
2143,1,68,0,3,3
2144,0,1,1,0,0
2145,0,22,1,0,33
2146,0,17,0,11,1
2147,0,0,0,6,15
2148,0,0,0,0,0
2149,0,0,19,8,2
2150,0,1,0,0,0
2151,4,3,1,6,0
2152,8,3,0,5,0
2153,2,0,0,128,10
2154,0,0,40,0,0
2155,0,0,0,1,29
2156,5,12,0,0,33
2157,2,0,1,3,0
2158,0,1,29,0,3
2159,0,64,0,3,23
2160,6,141,0,0,0
2161,0,0,60,2,3
2162,30,2,63,33,0
2163,0,0,0,0,2
2164,0,3,7,5,0
2165,22,9,1,0,0
2166,0,2,0,0,38
2167,0,0,29,0,20
2168,36,1,0,1,0
2169,15,0,0,51,42
2170,2,3,5,0,0
2171,0,1,0,25,0
2172,4,79,0,55,0
2173,26,2,0,66,2
2174,0,0,4,0,1
2175,17,56,0,0,4
2176,0,0,0,0,1
2177,0,0,1,0,19
2178,18,0,0,19,18
2179,1,0,0,19,0
2180,4,1,0,0,0
2181,0,0,4,0,0
2182,0,4,0,2,8
2183,19,38,1,3,0
2184,2,9,10,0,0
2185,1,0,0,1,0
2186,0,0,3,1,1
2187,6,1,0,0,51
2188,0,10,0,0,49
2189,0,26,4,1,0
2190,5,0,5,0,0
2191,1,0,0,1,3
2192,7,1,3,1,16
2193,0,5,127,160,0
2194,2,0,0,0,1
2195,2,4,5,1,0
2196,0,0,0,3,0
2197,20,0,0,90,0
2198,0,0,0,46,0
2199,0,0,0,4,0
2200,144,0,15,3,38
2201,2,5,0,0,0
2202,0,0,2,0,2
2203,0,0,36,1,0
2204,0,5,70,8,0
2205,0,0,4,0,0
2206,1,1,0,1,0
2207,2,0,0,0,7
2208,5,0,9,3,0
2209,41,0,0,10,1
2210,0,2,0,6,28
2211,2,35,0,0,0
2212,1,1,0,3,0
2213,0,0,0,0,0
2214,0,1,0,0,1
2215,0,2,0,0,0
2216,1,0,4,7,0
2217,0,25,40,34,0
2218,74,1,4,1,0
2219,0,0,33,0,0
2220,8,19,0,0,5
2221,3,0,0,0,0
2222,0,1,1,1,2
