simulation,2025,2026,2027,2028,2029
266,4,22,0,20,1
267,0,8,7,0,0
268,35,2,0,52,10
269,0,0,0,103,1
270,0,0,20,3,0
271,171,15,1,0,5
272,6,5,1,0,1
273,0,8,0,15,5
274,0,0,2,11,0
275,0,0,0,0,3
276,0,0,0,5,10
277,1,0,0,0,0
278,0,0,5,3,0
279,7,4,0,2,0
280,0,18,0,0,1
281,0,0,4,0,4
282,1,0,0,0,17
283,1,7,6,0,0
284,0,0,0,12,0
285,0,0,0,0,2
286,0,2,0,0,0
287,0,0,8,0,0
288,62,0,0,44,40
289,0,4,0,3,1
290,5,0,0,0,2
291,0,20,0,0,0
292,71,17,4,0,0
293,0,9,0,4,3
294,3,4,0,12,0
295,117,6,22,2,0
296,0,0,13,9,0
297,6,0,1,0,5
298,3,1,32,145,0
299,1,0,0,4,0
300,0,0,0,0,0
301,0,2,0,0,1
302,2,0,0,0,0
303,0,21,1,0,0
304,10,0,0,0,0
305,0,5,0,0,12
306,0,0,6,0,0
307,0,0,0,21,0
308,0,0,0,0,1
309,0,12,0,1,0
310,3,0,0,1,2
311,0,33,7,0,0
312,0,0,3,0,0
313,18,0,105,23,38
314,0,0,0,0,3
315,5,0,0,28,1
316,0,0,0,0,3
317,0,4,0,1,0
318,0,1,0,0,0
319,7,1,0,3,0
320,2,0,0,0,0
321,0,8,0,10,0
322,40,221,0,128,0
323,6,12,0,0,0
324,1,0,11,0,0
325,0,2,14,22,0
326,1,0,0,123,0
327,0,0,0,0,0
328,0,18,0,0,11
329,0,4,0,6,2
330,0,0,6,0,17
331,1,18,0,2,0
332,15,0,4,0,0
333,9,27,0,0,0
334,2,0,21,1,15
335,1,0,0,0,4
336,0,0,10,1,0
337,50,0,0,10,38
338,0,0,0,0,8
339,4,2,0,9,74
340,1,1,32,1,0
341,0,0,4,0,0
342,0,0,2,4,8
343,5,0,66,58,0
344,0,17,0,5,0
345,1,3,0,0,0
346,0,9,8,1,0
347,15,0,0,3,0
348,0,0,0,2,3
349,0,0,0,0,6
350,0,7,1,0,5
351,0,0,1,0,0
352,3,6,5,2,0
353,0,20,0,0,16
354,5,57,0,35,1
355,3,0,0,0,0
356,0,1,3,1,0
357,0,51,0,0,7
358,0,1,10,0,0
359,5,0,7,0,4
360,0,4,11,4,0
361,7,2,0,0,0
362,16,1,4,0,9
363,0,57,0,0,0
364,1,0,0,1,0
365,4,0,0,5,0
366,0,6,1,2,22
367,0,0,16,72,0
368,17,7,0,1,1
369,48,28,61,0,0
370,0,0,1,0,22
371,0,3,2,1,0
372,0,0,0,0,0
373,6,0,0,5,3
374,6,0,0,0,6
375,0,1,15,0,0
376,0,1,0,0,0
377,93,97,0,115,23
378,0,1,0,0,0
379,8,64,0,2,84
380,0,0,8,2,0
381,26,9,12,0,2
382,0,0,6,2,1
383,0,0,0,80,1
384,9,27,0,0,12
385,7,0,0,9,0
386,0,0,1,0,1
387,6,6,0,0,1
388,0,6,1,0,3
389,59,49,29,55,0
390,1,2,0,0,1
391,13,0,0,3,0
392,0,0,4,4,4
393,0,0,1,0,3
394,0,0,0,3,0
395,0,4,4,0,1
396,25,5,49,0,0
397,2,24,9,0,0
398,0,0,3,3,0
399,3,0,64,6,34
400,0,1,0,13,0
401,1,0,0,5,7
402,16,0,0,8,5
403,0,12,0,0,17
404,8,4,0,0,0
405,10,0,0,7,17
406,0,0,0,0,0
407,0,0,6,2,3
408,1,0,2,4,21
409,12,65,6,5,0
410,0,0,0,19,48
411,26,26,3,1,0
412,30,1,0,0,1
413,0,0,0,32,0
414,0,0,0,26,0
415,7,11,0,3,1
416,4,0,0,2,41
417,11,1,0,0,16
418,0,0,0,1,15
419,47,0,7,8,6
420,57,0,38,26,0
421,0,17,36,1,15
422,0,0,10,0,6
423,0,0,0,4,0
424,0,0,1,0,0
425,0,0,2,0,38
426,3,4,0,0,2
427,0,3,3,0,1
428,1,0,1,0,2
429,14,6,0,4,7
430,1,0,4,0,0
431,0,0,0,2,3
432,0,0,2,0,0
433,0,16,2,0,0
434,2,10,1,0,2
435,16,2,1,0,0
436,83,0,0,74,40
437,0,22,3,3,0
438,1,0,11,14,0
439,0,0,0,0,0
440,23,36,0,0,0
441,0,14,0,0,0
442,15,0,50,0,0
443,5,0,0,0,13
444,0,0,0,44,1
445,0,0,0,0,22
446,1,30,0,0,0
447,9,6,0,3,0
448,1,0,0,1,0
449,0,41,10,0,0
450,0,0,0,0,0
451,0,0,1,2,16
452,0,4,68,0,0
453,0,0,0,0,0
454,17,0,0,0,2
455,0,0,2,34,0
456,0,25,0,29,0
457,0,4,6,0,0
458,10,6,0,0,22
459,0,37,0,0,9
460,0,0,3,0,15
461,0,1,0,0,0
462,1,0,9,0,0
463,0,0,2,1,0
464,0,0,4,9,10
465,0,2,0,4,5
466,0,0,0,0,7
467,0,0,0,1,0
468,63,1,0,0,0
469,20,13,99,0,0
470,0,13,0,0,0
471,6,2,9,0,0
472,0,0,12,0,0
473,0,0,4,0,0
474,0,0,0,0,7
475,28,174,39,0,6
476,2,0,0,16,1
477,16,72,0,62,104
478,0,0,3,48,1
479,13,0,0,0,10
480,2,0,0,12,5
481,6,5,0,0,0
482,6,12,4,0,0
483,0,1,76,0,42
484,0,0,35,41,0
485,14,0,0,1,4
486,0,3,3,6,33
487,4,0,2,0,0
488,3,0,1,0,0
489,0,67,0,0,16
490,43,0,1,6,2
491,0,0,9,0,48
492,0,0,0,1,0
493,0,72,0,8,2
494,0,0,0,0,3
495,0,0,0,4,2
496,63,21,3,2,11
497,0,6,0,0,0
498,4,9,27,5,0
499,0,25,0,32,9
500,0,0,0,0,1
501,2,1,0,74,0
502,11,0,0,0,66
503,0,0,0,0,19
504,2,24,0,4,0
505,1,1,2,0,0
506,7,5,7,0,0
507,0,9,1,9,0
508,2,20,6,8,2
509,22,3,24,5,5
510,6,0,0,4,5
511,4,0,14,1,4
512,1,3,0,22,1
513,0,12,23,1,0
514,0,4,0,6,4
515,30,6,9,0,0
516,1,2,0,3,1
517,15,0,0,0,0
518,1,0,1,2,2
519,3,0,0,0,0
520,0,1,0,0,0
521,1,0,0,0,0
522,1,7,7,1,0
523,0,3,3,0,8
524,1,57,0,1,0
525,0,49,0,0,5
526,0,37,5,0,0
527,82,1,0,1,0
528,18,3,0,78,3
529,0,0,0,0,0
530,0,0,0,0,0
531,0,0,0,0,0
532,38,0,0,6,16
533,0,0,0,0,26
534,12,2,2,6,0
535,0,37,3,25,0
536,0,0,37,0,0
537,29,8,32,0,2
538,0,2,0,0,8
539,0,0,0,0,4
540,3,0,5,0,0
541,0,3,7,0,0
542,0,4,6,1,0
543,0,0,6,2,6
544,3,29,6,0,0
545,0,11,8,5,0
546,0,14,2,27,1
547,0,24,0,13,0
548,1,0,0,3,0
549,4,2,0,1,22
550,0,3,0,1,0
551,47,14,0,0,4
552,0,33,0,1,0
553,0,1,4,30,17
554,0,1,0,0,28
555,4,0,7,5,1
556,0,0,0,0,0
557,0,10,0,5,0
558,11,3,0,1,0
559,0,0,0,0,0
560,0,0,2,6,27
561,0,14,4,0,1
562,0,0,0,3,0
563,35,1,0,0,0
564,0,3,0,0,0
565,0,0,0,4,0
566,0,0,2,2,5
567,0,0,0,0,37
568,10,17,0,0,0
569,17,0,3,0,11
570,0,1,1,0,14
571,2,0,0,0,0
572,0,0,16,15,3
573,5,47,0,17,0
574,0,3,2,0,0
575,3,0,0,0,2
576,2,0,0,0,0
577,147,30,0,20,45
578,4,0,17,5,9
579,3,0,0,0,12
580,25,1,13,0,9
581,0,3,0,0,1
582,0,1,0,0,0
583,0,1,31,0,1
584,1,21,0,0,0
585,10,0,3,0,7
586,0,2,55,0,0
587,0,76,1,0,0
588,1,0,1,0,0
589,1,0,0,0,0
590,2,2,0,2,12
591,0,0,0,0,1
592,0,2,2,0,0
593,6,0,0,0,1
594,0,0,0,0,15
595,0,36,0,4,0
596,0,0,0,4,0
597,0,6,0,1,1
598,6,28,33,0,0
599,5,2,11,4,0
600,1,0,3,5,0
601,0,8,0,1,0
602,2,0,0,1,0
603,30,0,15,0,0
604,4,1,0,0,0
605,22,4,0,13,0
606,16,30,0,0,0
607,22,22,1,0,2
608,0,4,0,13,5
609,25,1,0,0,0
610,2,0,0,0,4
611,12,20,8,141,0
612,0,2,3,0,3
613,0,9,132,4,15
614,0,0,3,75,1
615,0,0,0,0,4
616,0,6,0,153,1
617,0,6,0,6,1
618,26,0,0,0,31
619,0,5,0,0,0
620,0,15,43,6,11
621,0,14,1,1,0
622,0,0,6,0,5
623,0,0,0,0,0
624,16,18,71,1,0
625,0,0,70,4,1
626,6,1,0,0,0
627,0,1,0,1,0
628,0,32,0,0,5
629,0,0,0,0,5
630,0,1,0,0,0
631,0,7,0,0,0
632,2,0,0,0,0
633,4,7,4,4,0
634,0,0,32,2,0
635,0,5,0,9,0
636,0,0,1,0,0
637,0,0,4,0,0
638,4,0,0,0,11
639,38,13,0,1,0
640,6,2,0,0,1
641,0,1,11,0,0
642,0,0,1,9,5
643,0,0,0,0,0
644,0,1,0,0,1
645,0,1,109,17,0
646,6,0,0,1,31
647,1,0,3,31,3
648,36,5,0,2,4
649,0,0,0,2,0
650,0,0,0,23,0
651,5,7,0,3,1
652,0,1,0,0,6
653,0,20,6,0,0
654,2,28,3,10,3
655,6,0,18,0,1
656,24,10,0,0,0
657,0,3,2,16,0
658,0,2,0,4,1
659,1,0,0,0,0
660,0,0,46,0,1
661,0,1,0,0,0
662,6,1,40,0,0
663,2,0,0,4,3
664,1,0,0,13,0
665,0,2,5,0,0
666,0,1,2,0,11
667,0,14,0,1,1
668,1,7,0,2,4
669,9,0,10,0,0
670,0,0,2,0,0
671,0,0,12,0,0
672,2,0,0,2,16
673,0,0,1,0,0
674,4,8,0,0,0
675,0,0,0,0,0
676,0,0,0,2,0
677,7,0,0,0,3
678,7,9,0,16,0
679,0,2,0,0,3
680,0,0,6,0,5
681,21,0,31,188,2
682,4,1,0,0,6
683,0,1,0,0,1
684,0,0,0,5,35
685,6,2,0,0,12
686,4,0,0,0,0
687,6,0,0,1,5
688,54,0,7,0,0
689,22,6,1,0,0
690,3,0,8,0,0
691,0,0,0,0,0
692,0,320,0,3,0
693,0,0,5,2,0
694,1,0,0,0,0
695,1,0,7,14,0
696,0,1,0,16,25
697,0,0,23,0,0
698,0,8,2,0,52
699,0,1,0,0,0
700,2,0,0,0,0
701,12,4,0,0,5
702,0,0,4,3,10
703,0,0,1,4,8
704,1,0,1,0,0
705,0,12,0,0,22
706,0,0,0,9,0
707,1,35,2,11,0
708,0,5,0,1,0
709,0,15,3,5,8
710,0,0,20,0,0
711,0,0,2,0,33
712,0,0,62,0,0
713,0,0,0,0,0
714,12,16,0,0,0
715,10,0,0,0,6
716,0,0,0,7,1
717,8,2,11,2,6
718,0,7,0,0,0
719,5,5,0,0,0
720,40,0,0,0,0
721,22,73,1,19,6
722,7,100,1,37,0
723,0,0,0,7,13
724,21,0,0,3,5
725,2,3,2,0,2
726,0,0,0,1,0
727,1,28,0,1,0
728,0,0,0,0,0
729,0,8,6,49,13
730,0,0,4,4,1
731,0,0,24,0,2
732,0,4,0,0,0
733,3,0,0,0,5
734,22,2,0,0,14
735,3,0,1,0,11
736,0,1,0,117,12
737,0,0,0,11,0
738,8,0,0,3,5
739,0,0,7,0,0
740,0,8,0,13,85
741,0,0,1,0,9
742,0,0,9,1,1
743,0,8,0,0,0
744,0,0,0,1,13
745,10,0,2,4,0
746,0,0,0,0,17
747,2,0,1,10,0
748,5,1,0,0,0
749,108,5,0,0,6
750,0,0,13,0,4
751,2,195,61,43,140
752,0,1,1,29,4
753,8,0,2,0,2
754,0,2,0,0,0
755,0,0,0,4,18
756,0,7,0,0,0
757,8,31,0,0,38
758,4,0,11,0,4
759,0,0,0,12,1
760,0,4,0,0,0
761,3,1,0,0,1
762,0,3,2,0,0
763,61,4,2,0,0
764,0,18,0,0,7
765,17,1,1,0,0
766,1,10,8,0,0
767,0,1,0,2,1
768,0,0,2,0,15
769,0,0,2,7,0
770,0,16,0,2,0
771,0,31,2,0,0
772,0,0,1,0,0
773,0,1,1,0,0
774,0,0,8,0,17
775,0,0,0,0,2
776,0,0,0,1,1
777,0,0,0,27,9
778,106,0,0,0,1
779,2,3,11,6,4
780,0,3,3,0,0
781,0,0,0,0,23
782,0,0,0,2,2
783,14,0,2,1,10
784,0,20,3,0,1
785,0,0,0,0,0
786,4,5,5,6,55
787,0,0,0,0,0
788,0,26,0,0,5
789,2,0,0,2,0
790,0,0,15,1,0
791,0,0,0,0,2
792,21,0,1,15,0
793,35,0,8,3,0
794,0,0,0,1,0
795,7,0,0,18,16
796,1,0,57,0,0
797,4,0,0,4,0
798,0,0,1,0,0
799,0,5,0,17,0
800,0,6,0,3,1
801,7,18,1,0,0
802,1,5,0,8,0
803,1,18,5,2,3
804,7,2,5,2,0
805,0,33,17,0,8
806,0,23,0,0,0
807,0,0,0,0,0
