origin_year,date,model,observed,predicted,lower_80,upper_80,lower_95,upper_95
2016,2016-03-01,sarimax,32.258167,31.42473946,29.0764174,33.77306151,27.83329079,35.01618812
2016,2016-04-01,sarimax,34.4080916,31.29606096,28.9477389,33.64438301,27.70461229,34.88750962
2016,2016-05-01,sarimax,32.43719913,32.60233879,30.25401673,34.95066084,29.01089012,36.19378745
2016,2016-06-01,sarimax,32.7304251,31.49384527,29.14552321,33.84216733,27.90239661,35.08529393
2016,2016-03-01,ets,32.258167,32.14798474,30.9795945,33.31637497,30.36108607,33.9348834
2016,2016-04-01,ets,34.4080916,33.23851686,32.07012662,34.40690709,31.45161819,35.02541552
2016,2016-05-01,ets,32.43719913,32.76623047,31.59784023,33.9346207,30.9793318,34.55312913
2016,2016-06-01,ets,32.7304251,31.97036199,30.80197175,33.13875222,30.18346332,33.75726065
2017,2017-03-01,seasonal_naive,29.80913455,32.258167,30.55548612,33.96084788,29.6541413,34.8621927
2017,2017-04-01,seasonal_naive,31.97975797,34.4080916,32.70541072,36.11077248,31.8040659,37.0121173
2017,2017-05-01,seasonal_naive,32.93461877,32.43719913,30.73451825,34.13988001,29.83317343,35.04122483
2017,2017-06-01,seasonal_naive,32.1644248,32.7304251,31.02774422,34.43310598,30.1263994,35.3344508
2017,2017-03-01,monthly_climatology,29.80913455,31.81995903,30.62390027,33.01601779,29.99074501,33.64917305
2017,2017-04-01,monthly_climatology,31.97975797,32.9331286,31.73706984,34.12918736,31.10391458,34.76234262
2017,2017-05-01,monthly_climatology,32.93461877,32.42198764,31.22592888,33.6180464,30.59277361,34.25120166
2017,2017-06-01,monthly_climatology,32.1644248,31.65224716,30.4561884,32.84830592,29.82303314,33.48146118
2017,2017-03-01,climatology_linear_trend,29.80913455,32.19785232,31.02036239,33.37534224,30.39703688,33.99866776
2017,2017-04-01,climatology_linear_trend,31.97975797,33.3110472,32.13355727,34.48853712,31.51023176,35.11186263
2017,2017-05-01,climatology_linear_trend,32.93461877,32.79988655,31.62239662,33.97737647,30.99907111,34.60070199
2017,2017-06-01,climatology_linear_trend,32.1644248,32.03017138,30.85268145,33.2076613,30.22935594,33.83098682
2017,2017-03-01,sarimax,29.80913455,31.88346835,29.60078617,34.16615053,28.39240722,35.37452949
2017,2017-04-01,sarimax,31.97975797,33.60669447,31.32401229,35.88937665,30.11563334,37.0977556
2017,2017-05-01,sarimax,32.93461877,31.97770121,29.69501903,34.26038338,28.48664007,35.46876234
2017,2017-06-01,sarimax,32.1644248,32.21140549,29.92872332,34.49408767,28.72034436,35.70246663
2017,2017-03-01,ets,29.80913455,32.28893723,31.12345649,33.45441796,30.50648826,34.07138619
2017,2017-04-01,ets,31.97975797,33.4020999,32.23661917,34.56758063,31.61965093,35.18454886
2017,2017-05-01,ets,32.93461877,32.89091389,31.72543316,34.05639462,31.10846492,34.67336285
2017,2017-06-01,ets,32.1644248,32.12116778,30.95568705,33.28664852,30.33871882,33.90361675
2018,2018-03-01,seasonal_naive,32.35494074,29.80913455,28.10952113,31.50874796,27.20980014,32.40846896
2018,2018-04-01,seasonal_naive,31.49475843,31.97975797,30.28014455,33.67937138,29.38042356,34.57909238
2018,2018-05-01,seasonal_naive,31.19203787,32.93461877,31.23500536,34.63423219,30.33528436,35.53395319
2018,2018-06-01,seasonal_naive,32.69709117,32.1644248,30.46481138,33.86403822,29.56509039,34.76375921
2018,2018-03-01,monthly_climatology,32.35494074,31.77624545,30.57846135,32.97402956,29.94439274,33.60809817
2018,2018-04-01,monthly_climatology,31.49475843,32.91240315,31.71461904,34.11018726,31.08055044,34.74425586
2018,2018-05-01,monthly_climatology,31.19203787,32.43313179,31.23534769,33.6309159,30.60127908,34.26498451
2018,2018-06-01,monthly_climatology,32.69709117,31.66338146,30.46559735,32.86116556,29.83152874,33.49523417
2018,2018-03-01,climatology_linear_trend,32.35494074,32.16238859,30.98486476,33.33991241,30.3615213,33.96325587
2018,2018-04-01,climatology_linear_trend,31.49475843,33.29857159,32.12104777,34.47609542,31.49770431,35.09943888
2018,2018-05-01,climatology_linear_trend,31.19203787,32.81928055,31.64175672,33.99680438,31.01841326,34.62014784
2018,2018-06-01,climatology_linear_trend,32.69709117,32.04955552,30.8720317,33.22707935,30.24868824,33.85042281
2018,2018-03-01,sarimax,32.35494074,29.4724207,27.15606226,31.78877914,25.92985617,33.01498523
2018,2018-04-01,sarimax,31.49475843,31.39171089,29.07535245,33.70806933,27.84914637,34.93427542
2018,2018-05-01,sarimax,31.19203787,32.23337478,29.91701634,34.54973322,28.69081026,35.77593931
2018,2018-06-01,sarimax,32.69709117,31.54599009,29.22963165,33.86234853,28.00342556,35.08855461
2018,2018-03-01,ets,32.35494074,32.16195823,30.99732692,33.32658954,30.38080834,33.94310812
2018,2018-04-01,ets,31.49475843,33.29955065,32.13491933,34.46418196,31.51840076,35.08070054
2018,2018-05-01,ets,31.19203787,32.82068587,31.65605455,33.98531718,31.03953598,34.60183576
2018,2018-06-01,ets,32.69709117,32.05071377,30.88608246,33.21534508,30.26956388,33.83186366
2019,2019-03-01,seasonal_naive,31.62977961,32.35494074,30.65595918,34.05392231,29.75657267,34.95330882
2019,2019-04-01,seasonal_naive,32.47775877,31.49475843,29.79577687,33.19374,28.89639036,34.09312651
2019,2019-05-01,seasonal_naive,34.21623103,31.19203787,29.49305631,32.89101943,28.5936698,33.79040595
2019,2019-06-01,seasonal_naive,32.97975843,32.69709117,30.9981096,34.39607273,30.09872309,35.29545924
2019,2019-03-01,monthly_climatology,31.62977961,31.78855812,30.58593573,32.99118051,29.94930589,33.62781035
2019,2019-04-01,monthly_climatology,32.47775877,32.8822405,31.67961811,34.08486289,31.04298827,34.72149273
2019,2019-05-01,monthly_climatology,34.21623103,32.40672554,31.20410315,33.60934793,30.56747331,34.24597777
2019,2019-06-01,monthly_climatology,32.97975843,31.68537528,30.48275289,32.88799767,29.84612305,33.52462751
2019,2019-03-01,climatology_linear_trend,31.62977961,32.17376913,30.99136175,33.35617652,30.36543309,33.98210518
2019,2019-04-01,climatology_linear_trend,32.47775877,33.26747623,32.08506885,34.44988362,31.45914019,35.07581228
2019,2019-05-01,climatology_linear_trend,34.21623103,32.79194205,31.60953466,33.97434943,30.983606,34.60027809
2019,2019-06-01,climatology_linear_trend,32.97975843,32.07061651,30.88820912,33.25302389,30.26228047,33.87895255
2019,2019-03-01,sarimax,31.62977961,32.02851884,29.71817777,34.33885991,28.49515709,35.5618806
2019,2019-04-01,sarimax,32.47775877,31.2592128,28.94887173,33.56955387,27.72585104,34.79257455
2019,2019-05-01,sarimax,34.21623103,30.98642055,28.67607948,33.29676162,27.45305879,34.5197823
2019,2019-06-01,sarimax,32.97975843,32.3237686,30.01342753,34.63410967,28.79040684,35.85713035
2019,2019-03-01,ets,31.62977961,32.17324441,31.0035055,33.34298333,30.38428312,33.96220571
2019,2019-04-01,ets,32.47775877,33.26582147,32.09608255,34.43556038,31.47686017,35.05478276
2019,2019-05-01,ets,34.21623103,32.79202266,31.62228374,33.96176158,31.00306137,34.58098395
2019,2019-06-01,ets,32.97975843,32.07028746,30.90054854,33.24002637,30.28132616,33.85924875
2020,2020-03-01,seasonal_naive,30.73526339,31.62977961,29.92948698,33.33007225,29.02940643,34.2301528
2020,2020-04-01,seasonal_naive,31.9764249,32.47775877,30.77746613,34.1780514,29.87738558,35.07813195
2020,2020-05-01,seasonal_naive,32.21074735,34.21623103,32.5159384,35.91652367,31.61585785,36.81660422
2020,2020-06-01,seasonal_naive,32.17709173,32.97975843,31.2794658,34.68005107,30.37938525,35.58013162
2020,2020-03-01,monthly_climatology,30.73526339,31.78525023,30.57875933,32.99174114,29.94008162,33.63041885
2020,2020-04-01,monthly_climatology,31.9764249,32.8738138,31.66732289,34.0803047,31.02864518,34.71898241
2020,2020-05-01,monthly_climatology,32.21074735,32.44442357,31.23793266,33.65091448,30.59925495,34.28959219
2020,2020-06-01,monthly_climatology,32.17709173,31.71234159,30.50585069,32.9188325,29.86717298,33.55751021
2020,2020-03-01,climatology_linear_trend,30.73526339,32.19336983,31.01135609,33.37538357,30.38563581,34.00110385
2020,2020-04-01,climatology_linear_trend,31.9764249,33.28195905,32.09994531,34.46397279,31.47422503,35.08969306
2020,2020-05-01,climatology_linear_trend,32.21074735,32.85254887,31.67053513,34.03456261,31.04481485,34.66028289
2020,2020-06-01,climatology_linear_trend,32.17709173,32.12049255,30.93847881,33.30250629,30.31275853,33.92822656
2020,2020-03-01,sarimax,30.73526339,31.66364695,29.38809075,33.93920314,28.18348407,35.14380982
