stratum,variable,valid_n,missing_n,mean,standard_deviation,median,first_quartile,third_quartile,interquartile_range,minimum,maximum,skewness,kurtosis,outcome,n,variance,variance_to_mean,zero_count,zero_fraction
persistent_heatwave_days,wind_speed_mean,270,0,7.094606979,3.687833791,6.87778975,4.39436,9.64636,5.252,0.35999998,20.008356,0.4801385986,-0.03613714706,,,,,,
persistent_heatwave_days,cloud_cover,270,0,17.81523153,12.16060076,17.204167,8.56562525,24.15416625,15.588541,0,60.75,1.043842681,1.56445271,,,,,,
persistent_heatwave_days,sunshine_duration,270,0,624.8228002,101.1033533,634.634725,577.405395,697.4036375,119.9982425,212.88184,811.8015,-1.04185051,1.897611074,,,,,,
persistent_heatwave_days,shortwave_radiation,270,0,6724.648148,548.0423747,6800,6456.25,7087.5,631.25,4090,7991,-1.296364482,3.857458433,,,,,,
persistent_heatwave_days,longwave_radiation,270,0,10042.88889,464.0990579,10120,9717.75,10410.5,692.75,8817,10958,-0.3828186282,-0.6539954104,,,,,,
persistent_heatwave_days,uv_radiation,270,0,780.7307019,57.24917859,789.02505,754.1950375,814.31995,60.1249125,459.76,900.11,-1.643377845,6.030391407,,,,,,
persistent_heatwave_days,pressure_mean,270,0,1004.671675,2.545559998,1004.756195,1002.934445,1006.436463,3.5020175,997.69574,1012.70825,0.07339365852,0.1019137064,,,,,,
persistent_heatwave_days,evapotranspiration,270,0,3.889573329,0.858493568,3.7526403,3.270239925,4.53779955,1.267559625,1.8892803,6.2164803,0.2940515353,-0.4315747927,,,,,,
persistent_heatwave_days,soil_temperature_mean,270,0,32.24362981,1.219259742,32.177293,31.55604225,32.8865605,1.33051825,28.557089,36.623333,0.2891856936,1.400235568,,,,,,
persistent_heatwave_days,soil_moisture_mean,270,0,0.183243209,0.04300128905,0.165520835,0.15399998,0.2025833525,0.0485833725,0.13429163,0.32779172,1.380428689,1.031848115,,,,,,
non_heatwave_hot_season_days,tmax,6196,0,32.06101079,2.332867384,32.260426,30.577925,33.800426,3.222501,21.460424,37.820423,-0.5558412228,0.3356227513,,,,,,
non_heatwave_hot_season_days,tmin,6196,0,23.72287168,3.045556056,24.420425,21.930426,26.040424,4.109998,12.060426,29.500425,-0.9043726567,0.3905246858,,,,,,
non_heatwave_hot_season_days,tmean,6196,0,27.60321686,2.226496317,27.928135,26.329488,29.21511225,2.88562425,18.274176,32.56876,-0.7025212329,0.2916529545,,,,,,
non_heatwave_hot_season_days,day_night_range,6196,0,8.338139104,2.959901364,8.0099995,6.1500015,10.25,4.0999985,0.58,18.669999,0.4291547638,-0.2144917921,,,,,,
non_heatwave_hot_season_days,precipitation,6196,0,7.536652677,13.23265047,1.9000001,0,9.799999,9.799999,0,261.09998,4.237526053,36.99229857,,,,,,
non_heatwave_hot_season_days,rh_mean,6196,0,77.83237881,9.517389275,80.038035,72.861795,84.5241245,11.6623295,42.204617,97.47027,-0.9341565193,0.5791296996,,,,,,
non_heatwave_hot_season_days,wind_speed_mean,6196,0,5.393698584,3.776159557,4.6102495,2.5455842,7.289445,4.7438608,0,36.932915,1.156075081,1.853835042,,,,,,
non_heatwave_hot_season_days,cloud_cover,6196,0,35.59180467,23.80147899,32.0770835,17.4354175,50.9635445,33.528127,0,99.833336,0.562891723,-0.3712688727,,,,,,
non_heatwave_hot_season_days,sunshine_duration,6196,0,478.132652,176.9232361,504.93283,364.8588325,614.9460225,250.08719,0,807.26666,-0.5859846704,-0.3272109911,,,,,,
non_heatwave_hot_season_days,shortwave_radiation,6196,0,5132.140413,1434.208121,5437,4254,6261,2007,323,7889,-0.7782202584,-0.05055215544,,,,,,
non_heatwave_hot_season_days,longwave_radiation,6196,0,10009.36895,718.4158571,10257,9633,10560,927,7313,11220,-1.17227473,0.7210958263,,,,,,
non_heatwave_hot_season_days,uv_radiation,6196,0,608.8048869,152.9566275,645.89997,523.095,720.6624875,197.5674875,46.460003,892.95,-0.9039089864,0.3082574282,,,,,,
non_heatwave_hot_season_days,pressure_mean,6196,0,1005.584563,4.367556499,1005.71246,1002.53754,1008.87506,6.33752,987.86237,1017.0625,-0.1760933353,-0.3167467725,,,,,,
non_heatwave_hot_season_days,evapotranspiration,6196,0,3.798754624,0.9291857957,3.78431995,3.1320002,4.5115201,1.3795199,1.04688,6.73776,-0.06728525373,-0.5760396318,,,,,,
non_heatwave_hot_season_days,soil_temperature_mean,6196,0,28.49988627,2.114143465,28.751669,27.309792,30.016356,2.706564,19.832085,34.58542,-0.6472235443,0.2779380363,,,,,,
non_heatwave_hot_season_days,soil_moisture_mean,6196,0,0.312508367,0.102316145,0.34985408,0.2064062425,0.40512502,0.1987187775,0.12858331,0.43791673,-0.4803456635,-1.348168728,,,,,,
annual_persistent_count_distribution,,,,5.094339623,,,,,,0,28,1.507536138,,heatwave_days,53,58.89477504,11.56082621,31,0.5849056604
