stratum,variable,valid_n,missing_n,mean,standard_deviation,median,first_quartile,third_quartile,interquartile_range,minimum,maximum,skewness,kurtosis,comparison,group,standardized_mean_difference
persistent_heatwave_day=False,tmax,6196,0,32.06101079,2.332867384,32.260426,30.577925,33.800426,3.222501,21.460424,37.820423,-0.5558412228,0.3356227513,persistent_heatwave_day,False,2.903306316
persistent_heatwave_day=False,tmin,6196,0,23.72287168,3.045556056,24.420425,21.930426,26.040424,4.109998,12.060426,29.500425,-0.9043726567,0.3905246858,persistent_heatwave_day,False,0.9941899856
persistent_heatwave_day=False,tmean,6196,0,27.60321686,2.226496317,27.928135,26.329488,29.21511225,2.88562425,18.274176,32.56876,-0.7025212329,0.2916529545,persistent_heatwave_day,False,1.967449627
persistent_heatwave_day=False,day_night_range,6196,0,8.338139104,2.959901364,8.0099995,6.1500015,10.25,4.0999985,0.58,18.669999,0.4291547638,-0.2144917921,persistent_heatwave_day,False,1.11860676
persistent_heatwave_day=False,precipitation,6196,0,7.536652677,13.23265047,1.9000001,0,9.799999,9.799999,0,261.09998,4.237526053,36.99229857,persistent_heatwave_day,False,-0.6693177487
persistent_heatwave_day=False,rh_mean,6196,0,77.83237881,9.517389275,80.038035,72.861795,84.5241245,11.6623295,42.204617,97.47027,-0.9341565193,0.5791296996,persistent_heatwave_day,False,-1.316323727
persistent_heatwave_day=False,wind_speed_mean,6196,0,5.393698584,3.776159557,4.6102495,2.5455842,7.289445,4.7438608,0,36.932915,1.156075081,1.853835042,persistent_heatwave_day,False,0.4557317341
persistent_heatwave_day=False,cloud_cover,6196,0,35.59180467,23.80147899,32.0770835,17.4354175,50.9635445,33.528127,0,99.833336,0.562891723,-0.3712688727,persistent_heatwave_day,False,-0.9405787706
persistent_heatwave_day=False,sunshine_duration,6196,0,478.132652,176.9232361,504.93283,364.8588325,614.9460225,250.08719,0,807.26666,-0.5859846704,-0.3272109911,persistent_heatwave_day,False,1.018046981
persistent_heatwave_day=False,shortwave_radiation,6196,0,5132.140413,1434.208121,5437,4254,6261,2007,323,7889,-0.7782202584,-0.05055215544,persistent_heatwave_day,False,1.466860483
persistent_heatwave_day=False,longwave_radiation,6196,0,10009.36895,718.4158571,10257,9633,10560,927,7313,11220,-1.17227473,0.7210958263,persistent_heatwave_day,False,0.05542533489
persistent_heatwave_day=False,uv_radiation,6196,0,608.8048869,152.9566275,645.89997,523.095,720.6624875,197.5674875,46.460003,892.95,-0.9039089864,0.3082574282,persistent_heatwave_day,False,1.48873892
persistent_heatwave_day=False,pressure_mean,6196,0,1005.584563,4.367556499,1005.71246,1002.53754,1008.87506,6.33752,987.86237,1017.0625,-0.1760933353,-0.3167467725,persistent_heatwave_day,False,-0.255382131
persistent_heatwave_day=False,evapotranspiration,6196,0,3.798754624,0.9291857957,3.78431995,3.1320002,4.5115201,1.3795199,1.04688,6.73776,-0.06728525373,-0.5760396318,persistent_heatwave_day,False,0.1015257889
persistent_heatwave_day=False,soil_temperature_mean,6196,0,28.49988627,2.114143465,28.751669,27.309792,30.016356,2.706564,19.832085,34.58542,-0.6472235443,0.2779380363,persistent_heatwave_day,False,2.169384661
