term,coefficient,se,p_value
Intercept,-4.228286181175956,0.43695459506430556,3.7867907132157883e-22
C(month)[T.4],1.9727298048918023,0.4550534207224455,1.4565353345971172e-05
C(month)[T.5],1.0414538748281637,0.4578919555891796,0.022938745191437723
C(month)[T.6],-0.7473687347265834,0.7023228115796813,0.287265967657493
decade,0.04197825629306802,0.17156087750639334,0.8067008715002324
